product_id	product_name	product_slug	post_status	post_date	post_modified	sku	description_chars	short_description_chars	thumbnail_id	gallery_image_ids
6506	Maceta Asimetrica Chica	maceta-geometrica-chica	publish	2020-12-30 16:28:45	2026-05-07 18:58:43	MMA-117	0	2582	6825	22650
6507	Maceta Geometrica Grande	maceta-geometrica-grande	publish	2020-12-30 16:53:44	2026-05-07 18:58:42	MMA-217	0	2583	6508	22651
6509	Maceta Geométrica Megagrande	mega-maceta-geometrica	publish	2020-12-30 16:55:00	2026-05-07 18:58:42	MMA-118	0	1297	6510	22652
6513	Banca Loa Inox	banca-loa-inox	draft	2020-12-30 17:00:12	2026-03-31 17:56:13	INOX-517B	0	2539	6514	
6520	BOTE GRIJALVA DOBLE CON TAPA	bote-inox	publish	2020-12-30 17:15:20	2026-05-07 18:58:39	BOT-IX-02-00	0	2598	6521	
6526	Banca Tikal	banca-tikal	publish	2020-12-30 17:19:15	2023-06-15 23:23:48	CMT-118B	0	1346	32100	21811
6528	Banco Angkor	banco-angkor	publish	2020-12-30 17:21:12	2023-06-15 21:41:22	CMT-218B	0	1304	32101	
6531	BOLARDO METALICO	bolardo-completo	publish	2020-12-30 17:34:43	2026-04-27 16:46:53	BOL-00-01-00	0	1257	32102	
6536	EJERCITADOR MUÑECAS DOBLE INCLUSIVO	doble-ejercitador-de-munecas-dc-inclusivo	publish	2020-12-30 17:40:41	2026-03-26 16:32:54	EJE-IN-02-00	0	2691	6542	21954
6538	BOLARDO TRIANGULAR	bolardo-1	publish	2020-12-30 17:42:34	2026-03-26 16:32:32	BOL-00-03-00	0	1250	6539	
6540	BOLARDO CUADRADO	bolardo-2	publish	2020-12-30 17:43:58	2026-03-26 16:32:32	BOL-00-02-00	0	1250	6541	
6543	EJERCITADOR BRAZOS Y PIERNAS DOBLE INCLUSIVO	doble-ejercitador-de-brazos-y-piernas-dc-inclusivo	publish	2020-12-30 17:45:20	2026-03-26 16:32:53	EJE-IN-03-00	0	1485	6545	
6546	EJERCITADOR COMBINADO DE BRAZOS Y MUÑECAS INCLUSIVO	doble-combinado-de-brazos-y-munecas-dc	publish	2020-12-30 17:48:47	2026-03-26 16:32:53	EJE-IN-04-00	0	2691	6547	
6557	EJERCITADOR DOMINADAS EN BARRA FORTE INCLUSIVO	forte-dominadas-en-barra-dc-inclusivo	publish	2020-12-30 17:56:32	2026-03-26 16:32:54	EJE-IN-07-00	0	2691	6559	
6561	EJERCITADOR BRAZOS Y MUÑECAS FORTE INCLUSIVO	forte-ejercitador-de-brazos-y-munecas-dc-inclusivos	publish	2020-12-30 17:58:35	2026-03-26 16:32:55	EJE-IN-08-00	0	2691	6562	
6564	EJERCITADOR BRAZOS, MUÑECAS Y HOMBROS INCLUSIVO	brazos-munecas-y-hombros-dc-inclusivo	publish	2020-12-30 18:00:02	2026-03-26 16:32:55	EJE-IN-09-00	0	2687	6567	
6569	PARABUS LONG	parabus-3	publish	2020-12-30 18:02:12	2026-03-26 16:32:34	BUS-LP-01-00	0	2651	6571	
6575	PARABUS FULL	parabus-1	publish	2020-12-30 18:05:59	2026-03-26 16:32:33	BUS-TP-02-00	0	1354	6576	
6577	Fuente lineal 4 salidas, 4 jet, 2 m altura	fuente-lineal-4-chorros	publish	2020-12-30 18:08:48	2021-01-25 08:40:22	FUMR-319	0	1227	7437	
6578	Fuente lineal 4 salidas, 4 jet 3 m altura	fuente-lineal-4-chorros-2	publish	2020-12-30 18:10:54	2021-01-25 08:41:40	FUMR-319-1	0	1224	7436	
6579	Fuente lineal 4 salidas, 2 jet y 2 aspersor 2 m altura	fuente-lineal-4-chorros-2-m-2-aspersores	publish	2020-12-30 18:13:20	2021-01-25 08:43:18	FUMR-319A	0	1243	7435	
6580	RAMPA PARA REHABILITACION	rampa	publish	2020-12-30 18:13:39	2026-03-26 16:32:56	REH-00-02-00	0	1423	6581	
6582	Fuente lineal 4 salidas, 2 jet y 2 aspersor 3 m altura	fuente-lineal-4-chorros-3-m-2-aspersores	publish	2020-12-30 18:15:18	2021-01-22 21:40:48	FUMR-319A-1	0	1202	7360	
6583	ESCALERA PARA REHABILITACION	escalera	publish	2020-12-30 18:15:20	2026-03-26 16:32:56	REH-00-03-00	0	2651	6584	
6585	CONJUNTO DE REHABILITACIÓN A	conjunto-de-rehabilitacion-a	publish	2020-12-30 18:16:42	2026-04-27 16:47:06	REH-00-08-00	0	2635	32110	
6589	CONJUNTO DE REHABILITACIÓN B	conjunto-de-rehabilitacion-b	publish	2020-12-30 18:27:25	2026-04-27 16:47:05	REH-00-07-00	0	2636	32109	
6596	Fuente redonda 5 salidas, 5 jet 2 m altura	fuente-redonda-5-salidas-5-jet-2-m-altura	publish	2020-12-30 18:54:21	2021-01-25 08:44:57	FUMR-419	0	1228	7441	
6597	Fuente redonda 5 salidas, 5 jet 3 m altura	fuente-redonda-5-salidas-5-jet-3-m-altura	publish	2020-12-30 18:56:32	2021-01-25 08:46:10	FUMR-419-1	0	1226	7438	
6598	Fuente redonda 7 salidas, 7 jet 2 m altura	fuente-redonda-7-salidas-7-jet-2-m-altura	publish	2020-12-30 19:03:08	2021-01-25 08:46:55	FUMR-519	0	1229	7444	
6599	Fuente redonda 7 salidas, 7 jet 3 m altura	fuente-redonda-7-salidas-7-jet-3-m-altura	publish	2020-12-30 19:04:25	2021-01-25 08:48:07	FUMR-519-1	0	1226	7418	
6600	Fuente redonda 9 salidas, 8 jet y 1 aspersor 2 mts altura	fuente-redonda-9-salidas-8-jet-y-1-aspersor-2-mts-altura	publish	2020-12-30 19:06:02	2021-01-25 08:49:03	FUMR-619A	0	1244	7441	
6601	Fuente redonda 9 salidas, 8 jet y 1 aspersor 3 mts altura	fuente-redonda-9-salidas-8-jet-y-1-aspersor-3-mts-altura	publish	2020-12-30 19:08:29	2021-01-25 08:50:36	FUMR-619-1A	0	1241	7438	
6602	Cascada digital	cascada-digital	publish	2020-12-30 19:15:38	2021-01-25 08:51:30	FUMR-119-C	0	1298	7447	
6603	Cascada digital metro extra	cascada-digital-metro-extra	private	2020-12-30 19:16:32	2021-01-28 20:52:02	FUMR-119E-C	0	1298	7447	
6604	LUMIN FULGOR 2M ALTURA	lumin-fulgor-2m-altura	publish	2020-12-30 19:19:35	2026-05-07 18:58:42	PIL-PT-04-00	0	1411	22656	
6610	LUMIN ALBA 2.5M ALTURA	lumin-alba-2-5-m-altura	publish	2020-12-30 19:23:37	2026-05-07 18:58:42	PIL-PT-03-00	0	1389	22655	
6647	11 BANCAS DE JUGADORES CON TECHUMBRE	bancas-de-jugadores-con-techumbre	publish	2020-12-30 19:46:09	2026-04-27 16:47:06	DEP-MO-02-00	0	2698	6652	
6653	TABLERO DE BÁSQUETBOL	tablero-de-basquetbol	publish	2020-12-30 19:48:23	2026-04-27 16:47:06	DEP-00-06-00	0	2577	32111	21832
6661	GRADAS TECHADAS 5 ASIENTOS Y 4 DESCANSA PIES	gradas-techadas-5-asientos-y-descansa-pies	publish	2020-12-30 19:53:22	2026-03-26 16:32:57	DEP-MO-03-00	0	2644	6663	21314
6664	PORTERIA FÚTBOL RAPIDO	porteria-futbol-rapido	publish	2020-12-30 19:56:07	2026-03-26 16:32:58	DEP-00-09-00	0	2585	6672	
6665	Juego California (EOS-PR-08-00)	california	draft	2020-12-30 19:56:26	2026-07-15 18:47:11	EOS-PR-08-00	1139	1438	28171	
6674	Velaria Twist Malla Sombra 9.2  X 9.2 M	velaria-twist-malla-sombra-9-2-x-9-2-m	private	2020-12-30 20:14:06	2026-05-07 18:58:44	VL-119	0	2593		
6676	Juego Paris (EOS-611 10.0)	paris	draft	2020-12-30 20:38:59	2026-07-15 18:47:11	EOS-PR-10-00	1349	1430	24986	
6683	CANCHA CIRCULAR DE FUTBOL RAPIDO	cancha-circular-futbol-rapido	publish	2020-12-30 20:53:33	2026-03-26 16:32:59	DEP-00-12-00	0	2628	6684	
6686	PORTERIA DE FÚTBOL PROFESIONAL	porteria-futbol-profesional	publish	2020-12-30 20:56:50	2026-03-26 16:32:58	DEP-00-10-00	0	2552	6687	
6689	MESA DE AJEDREZ	mesa-de-ajedrez	publish	2020-12-30 20:59:40	2026-04-27 16:47:07	DEP-MO-05-00	0	1373	32113	
6691	Velaria Conica Malla Sombra 4 Puntos 9.2 X 9.2 M	velaria-conica-malla-sombra-4-puntos-9-2-x-9-2-m	private	2020-12-30 21:01:31	2026-05-07 18:58:44	VL-219	0	2593	22241	
6693	Sombrilla Malla Sombra 4 Puntos 3 X 3 M	sombrilla-malla-sombra-4-puntos-3-x-3-m	private	2020-12-30 21:04:33	2026-05-07 18:58:44	VL-319	0	2593	22245	
6697	Velaria Twist Malla Sombra 6.2 X 6.2 M	velaria-twist-malla-sombra-6-2-x-6-2-m	private	2020-12-30 21:06:04	2026-05-07 18:58:43	VL-119-1	0	2597		
6699	Velaria Conica Malla Sombra 4 Puntos 6.2  X 6.2 M	velaria-conica-malla-sombra-4-puntos-6-2-x-6-2-m	private	2020-12-30 21:07:45	2026-05-07 18:58:43	VL-219-1	0	2626	22241	
6701	Letra de lamina 1.20 m de alto con base de 30 cm	letra-de-lamina-1-20-m-de-alto-con-base-de-30-cm	publish	2020-12-30 21:10:36	2022-02-16 16:46:35	LT-1.20	0	1179	22161	
6703	Letra de lamina 1.50 m de alto con base de 30 cm	letra-de-lamina-1-50-m-de-alto-con-base-de-30-cm	publish	2020-12-30 21:20:49	2022-02-16 16:36:19	LT-1.50	0	1179	22161	
6704	LETRA POLICARBONATO Y LUZ 2.00 M DE ALTO	letra-policarbonato-y-luz-2-00-m-de-alto	publish	2020-12-30 21:22:03	2026-03-26 16:32:36	LET-PT-03-00	0	1167	22159	
6705	Juego MASSACHUSETTS	masachusetts-v1	publish	2020-12-30 21:41:38	2026-07-17 19:18:47	MER-PR-02-00	1194	2175	25986	
6707	Juego Randolph (EOS-1613 10.0)	randolph	draft	2020-12-30 21:47:10	2026-07-15 18:47:12	EOS-PR-11-00	1354	1440	25105	
6708	LETRA POLICARBONATO Y LUZ 3.00 M DE ALTO	letra-policarbonato-y-luz-3-00-m-de-alto	publish	2020-12-30 21:50:05	2026-03-26 16:32:36	LET-PT-04-00	0	1169	22159	
6709	LETRA ACRILICO Y LUZ 1.20 M DE ALTO CON BASE	letra-acrilico-y-luz-1-20-m-de-alto-con-base	publish	2020-12-30 21:50:53	2026-03-26 16:32:35	LET-PT-01-00	0	1168	22157	
6710	LETRA ACRILICO Y LUZ 1.50 M DE ALTO CON BASE	letra-acrilico-y-luz-1-50-m-de-alto-con-base	publish	2020-12-30 21:52:25	2026-03-26 16:32:36	LET-PT-02-00	0	1167	22158	
6712	TECHO SOMBRA DE COLOR 12 ACRILICO	techo-sombra-de-color-12-acrilico	publish	2020-12-30 21:53:48	2026-05-07 18:58:42	TEC-AC-01-00	0	1231	7288	
6713	Juego Utah (EOS-515 7.0)	utah	private	2020-12-30 21:58:13	2026-07-15 18:47:13	EOS-PR-12-00	1179	1428	24848	21943
6715	TECHO SOLAR	techo-solar	publish	2020-12-30 21:59:26	2026-03-26 16:32:38	TEC-PT-02-00	0	1289	29521	
